Time [s],Value,Parity Error,Framing Error
1.91707,0x59,,
1.917165,0xFF,,
1.917879,0x06,,
1.917974,0xA2,,
1.918069,0x00,,
1.918164,0x00,,
1.918258,0x57,,
1.918353,0xFF,,
1.92458,0x04,,
1.924675,0xA1,,
1.924771,0x5A,,
1.924866,0xFF,,
1.925595,0x06,,
1.925691,0xA1,,
1.925786,0xFF,,
1.925882,0xFF,,
1.925977,0x5A,,
1.926073,0xFD,,
1.93228,0x04,,
1.932376,0xA2,,
1.932472,0x59,,
1.932567,0xFF,,
1.933282,0x06,,
1.933377,0xA2,,
1.933472,0x00,,
1.933567,0x00,,
1.933662,0x57,,
1.933756,0xFF,,
1.939981,0x04,,
1.940077,0xA1,,
1.940172,0x5A,,
1.940268,0xFF,,
1.940987,0x06,,
1.941082,0xA1,,
1.941178,0xFF,,
1.941273,0xFF,,
1.941369,0x5A,,
1.941464,0xFD,,
1.947682,0x04,,
1.947778,0xA2,,
1.947873,0x59,,
1.947969,0xFF,,
1.948685,0x06,,
1.94878,0xA2,,
1.948875,0x00,,
1.948969,0x00,,
1.949064,0x57,,
1.949159,0xFF,,
1.955383,0x04,,
1.955479,0xA1,,
1.955574,0x5A,,
1.95567,0xFF,,
1.956392,0x06,,
1.956487,0xA1,,
1.956583,0xFF,,
1.956679,0xFF,,
1.956774,0x5A,,
1.95687,0xFD,,
1.963083,0x04,,
1.963178,0xA2,,
1.963274,0x59,,
1.96337,0xFF,,
1.964089,0x06,,
1.964184,0xA2,,
1.964279,0x00,,
1.964374,0x00,,
1.964469,0x57,,
1.964564,0xFF,,
1.970785,0x04,,
1.97088,0xA1,,
1.970976,0x5A,,
1.971071,0xFF,,
1.971791,0x06,,
1.971887,0xA1,,
1.971982,0xFF,,
1.972078,0xFF,,
1.972173,0x5A,,
1.972269,0xFD,,
1.978485,0x04,,
1.97858,0xA2,,
1.978676,0x59,,
1.978771,0xFF,,
1.979485,0x06,,
1.97958,0xA2,,
1.979675,0x00,,
1.979769,0x00,,
1.979864,0x57,,
1.979959,0xFF,,
1.986185,0x04,,
1.986281,0xA1,,
1.986377,0x5A,,
1.986472,0xFF,,
1.987202,0x06,,
1.987297,0xA1,,
1.987393,0xFF,,
1.987488,0xFF,,
1.987584,0x5A,,
1.987679,0xFD,,
1.993886,0x04,,
1.993982,0xA2,,
1.994077,0x59,,
1.994173,0xFF,,
1.994888,0x06,,
1.994983,0xA2,,
1.995078,0x00,,
1.995173,0x00,,
1.995267,0x57,,
1.995362,0xFF,,
2.001587,0x04,,
2.001683,0xA1,,
2.001778,0x5A,,
2.001874,0xFF,,
2.002593,0x06,,
2.002689,0xA1,,
2.002784,0xFF,,
2.00288,0xFF,,
2.002975,0x5A,,
2.003071,0xFD,,
2.009288,0x04,,
2.009384,0xA2,,
2.009479,0x59,,
2.009575,0xFF,,
2.010288,0x06,,
2.010382,0xA2,,
2.010477,0x00,,
2.010572,0x00,,
2.010667,0x57,,
2.010762,0xFF,,
2.016989,0x04,,
2.017084,0xA1,,
2.01718,0x5A,,
2.017276,0xFF,,
2.017998,0x06,,
2.018094,0xA1,,
2.018189,0xFF,,
2.018285,0xFF,,
2.01838,0x5A,,
2.018476,0xFD,,
2.02469,0x04,,
2.024785,0xA2,,
2.024881,0x59,,
2.024976,0xFF,,
2.025691,0x06,,
2.025786,0xA2,,
2.02588,0x00,,
2.025975,0x00,,
2.02607,0x57,,
2.026165,0xFF,,
2.032391,0x04,,
2.032486,0xA1,,
2.032582,0x5A,,
2.032677,0xFF,,
2.033397,0x06,,
2.033493,0xA1,,
2.033588,0xFF,,
2.033684,0xFF,,
2.033779,0x5A,,
2.033875,0xFD,,
2.040091,0x04,,
2.040187,0xA2,,
2.040283,0x59,,
2.040378,0xFF,,
2.041095,0x06,,
2.04119,0xA2,,
2.041285,0x00,,
2.04138,0x00,,
2.041475,0x57,,
2.04157,0xFF,,
2.047791,0x04,,
2.047887,0xA1,,
