Time [s],Value,Parity Error,Framing Error
6.344661,0xA2,,
6.344756,0xFE,,
6.344852,0xFF,,
6.344947,0x5A,,
6.345043,0xFD,,
6.351256,0x04,,
6.351351,0xA1,,
6.351447,0x5A,,
6.351543,0xFF,,
6.358957,0x04,,
6.359052,0xA2,,
6.359148,0x59,,
6.359243,0xFF,,
6.359964,0x06,,
6.36006,0xA2,,
6.360155,0xFE,,
6.360251,0xFF,,
6.360346,0x5A,,
6.360442,0xFD,,
6.366658,0x04,,
6.366753,0xA1,,
6.366849,0x5A,,
6.366944,0xFF,,
6.374358,0x04,,
6.374454,0xA2,,
6.37455,0x59,,
6.374645,0xFF,,
6.37537,0x06,,
6.375466,0xA2,,
6.375561,0xFE,,
6.375657,0xFF,,
6.375752,0x5A,,
6.375848,0xFD,,
6.382059,0x04,,
6.382155,0xA1,,
6.38225,0x5A,,
6.382346,0xFF,,
6.38976,0x04,,
6.389856,0xA2,,
6.389951,0x59,,
6.390047,0xFF,,
6.390768,0x06,,
6.390863,0xA2,,
6.390959,0xFE,,
6.391054,0xFF,,
6.39115,0x5A,,
6.391245,0xFD,,
6.397461,0x04,,
6.397557,0xA1,,
6.397652,0x5A,,
6.397748,0xFF,,
6.405162,0x04,,
6.405257,0xA2,,
6.405353,0x59,,
6.405449,0xFF,,
6.406167,0x06,,
6.406262,0xA2,,
6.406358,0xFE,,
6.406453,0xFF,,
6.406549,0x5A,,
6.406644,0xFD,,
6.412863,0x04,,
6.412958,0xA1,,
6.413054,0x5A,,
6.413149,0xFF,,
6.421859,0xFF,,
6.421954,0x5A,,
6.736583,0xFF,,
6.743997,0x04,,
6.744092,0xA2,,
6.744188,0x59,,
6.744283,0xFF,,
6.745005,0x06,,
6.745101,0xA2,,
6.745196,0xFE,,
6.745292,0xFF,,
6.745387,0x5A,,
6.745483,0xFD,,
6.751697,0x04,,
6.751793,0xA1,,
6.751889,0x5A,,
6.751984,0xFF,,
6.759398,0x04,,
6.759494,0xA2,,
6.759589,0x59,,
6.759685,0xFF,,
6.760411,0x06,,
6.760507,0xA2,,
6.760602,0xFE,,
6.760698,0xFF,,
6.760793,0x5A,,
6.760889,0xFD,,
6.767099,0x04,,
6.767195,0xA1,,
6.76729,0x5A,,
6.767386,0xFF,,
6.821004,0x04,,
6.8211,0xA2,,
6.821195,0x59,,
6.821291,0xFF,,
6.822015,0x06,,
6.82211,0xA2,,
6.822206,0xFE,,
6.822301,0xFF,,
6.822397,0x5A,,
6.822492,0xFD,,
6.828704,0x04,,
6.8288,0xA1,,
6.828895,0x5A,,
6.828991,0xFF,,
6.836405,0x04,,
6.8365,0xA2,,
6.836596,0x59,,
6.836692,0xFF,,
6.837414,0x06,,
6.837509,0xA2,,
6.837605,0xFE,,
