Time [s],Value,Parity Error,Framing Error
0.41114,0xA2,,
0.411235,0xFF,,
0.411331,0xFF,,
0.411426,0x59,,
0.411522,0xFD,,
0.417735,0x04,,
0.417831,0xA1,,
0.417927,0x5A,,
0.418022,0xFF,,
0.418734,0x06,,
0.418829,0xA1,,
0.418923,0x00,,
0.419018,0x00,,
0.419113,0x58,,
0.419208,0xFF,,
0.425436,0x04,,
0.425532,0xA2,,
0.425627,0x59,,
0.425723,0xFF,,
0.426443,0x06,,
0.426539,0xA2,,
0.426634,0xFF,,
0.42673,0xFF,,
0.426825,0x59,,
0.426921,0xFD,,
0.433137,0x04,,
0.433233,0xA1,,
0.433328,0x5A,,
0.433424,0xFF,,
0.434139,0x06,,
0.434234,0xA1,,
0.434329,0x00,,
0.434424,0x00,,
0.434518,0x58,,
0.434613,0xFF,,
0.440838,0x04,,
0.440934,0xA2,,
0.441029,0x59,,
0.441125,0xFF,,
0.441848,0x06,,
0.441944,0xA2,,
0.442039,0xFF,,
0.442135,0xFF,,
0.44223,0x59,,
0.442326,0xFD,,
0.448539,0x04,,
0.448634,0xA1,,
0.44873,0x5A,,
0.448826,0xFF,,
0.449537,0x06,,
0.449632,0xA1,,
0.449726,0x00,,
0.449821,0x00,,
0.449916,0x58,,
0.450011,0xFF,,
0.45624,0x04,,
0.456335,0xA2,,
0.456431,0x59,,
0.456526,0xFF,,
0.463941,0x04,,
0.464036,0xA2,,
0.464132,0x59,,
0.464227,0xFF,,
0.464948,0x06,,
0.465043,0xA2,,
0.465139,0xFF,,
0.465234,0xFF,,
0.46533,0x59,,
0.465425,0xFD,,
0.471641,0x04,,
0.471737,0xA1,,
0.471833,0x5A,,
0.471928,0xFF,,
0.472645,0x06,,
0.47274,0xA1,,
0.472835,0x00,,
0.47293,0x00,,
0.473025,0x58,,
0.47312,0xFF,,
0.479342,0x04,,
0.479438,0xA2,,
0.479533,0x59,,
0.479629,0xFF,,
0.480347,0x06,,
0.480442,0xA2,,
0.480538,0xFF,,
0.480633,0xFF,,
0.480729,0x59,,
0.480825,0xFD,,
0.487043,0x04,,
0.487139,0xA1,,
0.487234,0x5A,,
0.48733,0xFF,,
0.488043,0x06,,
0.488138,0xA1,,
0.488233,0x00,,
0.488328,0x00,,
0.488423,0x58,,
0.488518,0xFF,,
0.494744,0x04,,
0.49484,0xA2,,
0.494935,0x59,,
0.495031,0xFF,,
0.495752,0x06,,
0.495847,0xA2,,
0.495943,0xFF,,
0.496039,0xFF,,
0.496134,0x59,,
