Time [s],Value,Parity Error,Framing Error
0.605919,0xA1,,
0.606015,0x5A,,
0.60611,0xFF,,
0.613524,0x04,,
0.61362,0xA2,,
0.613715,0x59,,
0.613811,0xFF,,
0.614531,0x06,,
0.614626,0xA2,,
0.614722,0xFD,,
0.614817,0xFF,,
0.614913,0x5B,,
0.615008,0xFD,,
0.621225,0x04,,
0.621321,0xA1,,
0.621416,0x5A,,
0.621512,0xFF,,
0.628926,0x04,,
0.629022,0xA2,,
0.629117,0x59,,
0.629213,0xFF,,
0.629936,0x06,,
0.630031,0xA2,,
0.630127,0xFD,,
0.630222,0xFF,,
0.630318,0x5B,,
0.630413,0xFD,,
0.636627,0x04,,
0.636722,0xA1,,
0.636818,0x5A,,
0.636914,0xFF,,
0.644328,0x04,,
0.644423,0xA2,,
0.644519,0x59,,
0.644614,0xFF,,
0.645335,0x06,,
0.64543,0xA2,,
0.645526,0xFD,,
0.645621,0xFF,,
0.645717,0x5B,,
0.645813,0xFD,,
0.652029,0x04,,
0.652124,0xA1,,
0.65222,0x5A,,
0.652315,0xFF,,
0.659729,0x04,,
0.659825,0xA2,,
0.659921,0x59,,
0.660016,0xFF,,
0.66074,0x06,,
0.660836,0xA2,,
0.660931,0xFD,,
0.661027,0xFF,,
0.661122,0x5B,,
0.661218,0xFD,,
0.66743,0x04,,
0.667526,0xA1,,
0.667621,0x5A,,
0.667717,0xFF,,
0.675131,0x04,,
0.675227,0xA2,,
0.675322,0x59,,
0.675418,0xFF,,
0.67614,0x06,,
0.676236,0xA2,,
0.676331,0xFD,,
0.676427,0xFF,,
0.676522,0x5B,,
0.676618,0xFD,,
0.682832,0x04,,
0.682927,0xA1,,
0.683023,0x5A,,
0.683119,0xFF,,
0.690533,0x04,,
0.690628,0xA2,,
0.690724,0x59,,
0.690819,0xFF,,
0.691539,0x06,,
0.691635,0xA2,,
0.69173,0xFD,,
0.691826,0xFF,,
0.691921,0x5B,,
0.692017,0xFD,,
0.698234,0x04,,
0.698329,0xA1,,
0.698425,0x5A,,
0.69852,0xFF,,
0.705933,0x04,,
0.706029,0xA2,,
0.706125,0x59,,
0.70622,0xFF,,
0.706938,0x06,,
0.707034,0xA2,,
0.707129,0xFD,,
0.707225,0xFF,,
0.70732,0x5B,,
0.707416,0xFD,,
0.713634,0x04,,
0.71373,0xA1,,
0.713825,0x5A,,
0.713921,0xFF,,
0.721335,0x04,,
0.721431,0xA2,,
0.721526,0x59,,
0.721622,0xFF,,
0.722343,0x06,,
0.722439,0xA2,,
0.722534,0xFD,,
0.72263,0xFF,,
0.722725,0x5B,,
0.722821,0xFD,,
0.729036,0x04,,
0.729132,0xA1,,
0.729227,0x5A,,
0.729323,0xFF,,
0.736737,0x04,,
0.736832,0xA2,,
0.736928,0x59,,
0.737024,0xFF,,
0.737742,0x06,,
0.737837,0xA2,,
0.737933,0xFD,,
0.738028,0xFF,,
0.738124,0x5B,,
0.738219,0xFD,,
0.744438,0x04,,
0.744533,0xA1,,
0.744629,0x5A,,
0.744724,0xFF,,
0.752139,0x04,,
0.752234,0xA2,,
0.75233,0x59,,
0.752425,0xFF,,
0.753147,0x06,,
0.753242,0xA2,,
0.753338,0xFD,,
0.753433,0xFF,,
0.753529,0x5B,,
0.753624,0xFD,,
0.759839,0x04,,
0.759935,0xA1,,
0.760031,0x5A,,
0.760126,0xFF,,
0.76754,0x04,,
0.767636,0xA2,,
0.767731,0x59,,
0.767827,0xFF,,
0.768546,0x06,,
0.768641,0xA2,,
0.768737,0xFD,,
0.768832,0xFF,,
0.768928,0x5B,,
0.769023,0xFD,,
0.775241,0x04,,
0.775337,0xA1,,
0.775432,0x5A,,
0.775528,0xFF,,
0.782942,0x04,,
0.783038,0xA2,,
0.783133,0x59,,
0.783229,0xFF,,
0.783951,0x06,,
0.784046,0xA2,,
0.784142,0xFD,,
0.784237,0xFF,,
0.784333,0x5B,,
0.784429,0xFD,,
0.790643,0x04,,
0.790738,0xA1,,
0.790834,0x5A,,
0.79093,0xFF,,
0.798344,0x04,,
0.798439,0xA2,,
0.798535,0x59,,
0.79863,0xFF,,
0.79935,0x06,,
0.799445,0xA2,,
0.799541,0xFD,,
0.799636,0xFF,,
0.799732,0x5B,,
0.799827,0xFD,,
0.806045,0x04,,
0.80614,0xA1,,
0.806236,0x5A,,
0.806331,0xFF,,
0.813745,0x04,,
0.813841,0x83,,
0.813937,0x78,,
0.814032,0xFF,,
0.821446,0x04,,
0.821542,0xA1,,
0.821637,0x5A,,
0.821733,0xFF,,
0.829147,0x04,,
0.829243,0xA2,,
0.829338,0x59,,
0.829434,0xFF,,
0.830153,0x06,,
0.830249,0xA2,,
0.830344,0xFD,,
0.83044,0xFF,,
0.830535,0x5B,,
0.830631,0xFD,,
0.836848,0x04,,
0.836944,0xA1,,
0.837039,0x5A,,
0.837135,0xFF,,
0.844549,0x04,,
0.844644,0xA2,,
0.84474,0x59,,
0.844836,0xFF,,
0.845558,0x06,,
0.845654,0xA2,,
0.845749,0xFD,,
0.845845,0xFF,,
0.84594,0x5B,,
0.846036,0xFD,,
0.852249,0x04,,
0.852344,0xA1,,
0.85244,0x5A,,
0.852535,0xFF,,
0.859951,0x04,,
0.860046,0xA2,,
0.860142,0x59,,
0.860237,0xFF,,
0.860964,0x06,,
0.86106,0xA2,,
0.861155,0xFD,,
0.861251,0xFF,,
0.861346,0x5B,,
0.861442,0xFD,,
0.867651,0x04,,
0.867747,0xA1,,
0.867843,0x5A,,
0.867938,0xFF,,
0.875352,0x04,,
0.875448,0xA2,,
0.875543,0x59,,
0.875639,0xFF,,
0.876357,0x06,,
0.876453,0xA2,,
0.876548,0xFD,,
0.876644,0xFF,,
0.876739,0x5B,,
0.876835,0xFD,,
0.883052,0x04,,
0.883148,0xA1,,
0.883243,0x5A,,
0.883339,0xFF,,
0.890754,0x04,,
0.890849,0xA2,,
0.890945,0x59,,
0.891041,0xFF,,
0.891762,0x06,,
0.891858,0xA2,,
0.891953,0xFD,,
0.892049,0xFF,,
0.892144,0x5B,,
0.89224,0xFD,,
0.898454,0x04,,
0.898549,0xA1,,
0.898645,0x5A,,
0.89874,0xFF,,
0.906154,0x04,,
0.906249,0xA2,,
0.906345,0x59,,
0.90644,0xFF,,
0.90716,0x06,,
0.907255,0xA2,,
0.907351,0xFD,,
0.907446,0xFF,,
0.907542,0x5B,,
0.907637,0xFD,,
0.913854,0x04,,
0.91395,0xA1,,
0.914046,0x5A,,
0.914141,0xFF,,
0.921555,0x04,,
0.921651,0xA2,,
0.921746,0x59,,
0.921842,0xFF,,
0.922567,0x06,,
0.922663,0xA2,,
0.922758,0xFD,,
0.922854,0xFF,,
0.922949,0x5B,,
0.923045,0xFD,,
0.929256,0x04,,
0.929352,0xA1,,
0.929447,0x5A,,
0.929543,0xFF,,
0.936957,0x04,,
0.937053,0xA2,,
0.937148,0x59,,
0.937244,0xFF,,
0.937967,0x06,,
0.938062,0xA2,,
0.938158,0xFD,,
0.938253,0xFF,,
0.938349,0x5B,,
0.938444,0xFD,,
0.944658,0x04,,
0.944753,0xA1,,
0.944849,0x5A,,
0.944945,0xFF,,
0.952359,0x04,,
0.952454,0xA2,,
0.95255,0x59,,
0.952645,0xFF,,
0.953366,0x06,,
0.953461,0xA2,,
0.953557,0xFD,,
0.953652,0xFF,,
0.953748,0x5B,,
0.953843,0xFD,,
0.96006,0x04,,
0.960155,0xA1,,
0.960251,0x5A,,
0.960346,0xFF,,
0.96776,0x04,,
0.967856,0xA2,,
0.967952,0x59,,
0.968047,0xFF,,
0.968771,0x06,,
0.968866,0xA2,,
0.968962,0xFD,,
0.969057,0xFF,,
0.969153,0x5B,,
0.969248,0xFD,,
0.975461,0x04,,
0.975557,0xA1,,
0.975652,0x5A,,
0.975748,0xFF,,
0.983162,0x04,,
